@relation 123

@attribute TEMPINC numeric
@attribute DEWPOINTTEMPINC numeric
@attribute RELHUMINPERCENT numeric
@attribute WINDDIRIN10SDEG numeric
@attribute WINDSPDINKMH numeric
@attribute VISIBILITYINKM numeric
@attribute STNPRESSINKPA numeric
@attribute WINDCHILL numeric
@attribute Class {1,2,3}

@data
-3.4,-3.7,98,13,7,8,97.89,-6,3
-3,-3.9,93,13,9,16.1,97.89,-7,1
-2.9,-3.7,94,12,9,12.9,97.89,-6,1
-3,-3.8,94,10,9,16.1,97.92,-7,1
-2.7,-3.5,94,10,7,12.9,97.92,-6,1
-2.6,-3.7,92,12,15,16.1,97.89,-8,1
-2.4,-3.5,92,11,11,16.1,97.92,-6,1
-22.2,-24.6,81,29,30,24.1,100.07,-35,2
-22.5,-25,80,28,32,24.1,100.07,-36,2
-22.2,-24.6,81,30,32,24.1,100.13,-36,2
-22.7,-25.2,80,29,32,24.1,100.2,-36,2
-23,-25.5,80,28,33,24.1,100.17,-37,2
-23.3,-25.8,80,29,33,24.1,100.2,-37,2
-24,-26.6,79,26,37,24.1,100.24,-39,2
-24.3,-26.9,79,29,32,24.1,100.24,-39,2
-24.6,-27.2,79,27,37,24.1,100.2,-40,2
-24.5,-27.1,79,25,41,24.1,100.13,-40,2
-25,-27.7,78,25,37,24.1,100.2,-40,2
-25,-27.7,78,25,37,24.1,100.2,-40,2
-25.3,-28,78,25,46,24.1,100.2,-42,2
-25.2,-27.9,78,27,32,24.1,100.27,-40,2
-25.5,-28.2,78,28,22,24.1,100.3,-38,2
-24.8,-27.5,78,25,33,24.1,100.27,-39,2
-24,-27.6,72,27,32,24.1,100.34,-38,2
-24.2,-26.8,79,25,35,24.1,100.41,-39,2
-24.6,-27.2,79,22,35,24.1,100.44,-39,2
-22,-27.3,62,24,28,24.1,100.41,-35,2
-20.4,-27.2,55,27,28,24.1,100.61,-33,2
-20.4,-25.2,65,26,32,24.1,100.68,-33,2
-21.1,-26.1,64,27,30,24.1,100.74,-34,2
-21,-27,58,28,35,24.1,100.81,-35,2
-20.8,-24.8,70,26,32,24.1,100.81,-34,2
-20.8,-23.9,76,26,28,24.1,100.81,-33,2
-21,-25,70,24,15,24.1,100.84,-30,2
-22.6,-27,67,24,26,24.1,100.88,-35,2
-23,-27.5,67,24,30,24.1,100.84,-36,2
-21.8,-26,69,25,32,24.1,100.88,-35,2
-21.9,-26.1,69,24,32,24.1,100.88,-35,2
-24.2,-29,64,21,20,24.1,100.88,-36,2
-24.6,-28.3,71,22,20,24.1,100.91,-36,2
-25,-28.8,71,24,28,24.1,100.88,-39,2
-25,-27.7,78,24,22,24.1,100.95,-37,2
-25.7,-28.4,78,21,15,24.1,100.88,-36,2
-21,-26,64,28,13,24.1,101.25,-30,2
-21.2,-25.3,69,24,9,24.1,101.22,-28,2
-22.3,-26.6,68,21,20,24.1,101.22,-33,2
-23,-27.5,67,19,19,24.1,101.18,-34,2
-22.4,-26.8,67,14,6,24.1,100.98,-28,1
-23.2,-27.8,66,19,13,24.1,100.98,-32,1
-23.1,-26.6,73,16,6,24.1,100.91,-29,1
-22.8,-27.3,67,18,15,24.1,100.81,-33,1
-22.6,-27,67,18,11,24.1,100.68,-31,1
-22,-25.3,75,14,6,24.1,100.61,-27,1
-18.6,-20.7,83,30,50,11.3,101.49,-33,1
-24.6,-27.2,79,31,39,24.1,102.3,-40,2
-24.8,-27.5,78,30,44,24.1,102.23,-41,2
-26.2,-31.6,60,29,39,24.1,101.66,-42,2
-26,-32.9,52,30,35,24.1,101.76,-41,2
-26.6,-30.7,68,33,19,24.1,101.99,-39,2
-27.3,-30.1,77,28,32,24.1,102.1,-42,2
-26.9,-31,68,30,37,24.1,102.23,-43,2
-26,-30,69,30,32,24.1,102.4,-41,2
-24.5,-29.4,64,29,32,24.1,102.43,-39,2
-23,-27.5,67,27,19,24.1,102.43,-34,2
